Date;Opérateur;06:00:00;07:00:00;08:00:00;09:00:00;10:00:00;11:00:00;12:00:00;13:00:00;14:00:00;15:00:00;16:00:00;17:00:00;18:00:00;19:00:00;20:00:00;21:00:00;22:00:00;23:00:00;00:00:00;01:00:00;02:00:00;03:00:00;04:00:00;05:00:00;Secteur d'activité;Statut;Consommation Journalière (MWh PCS 0°C)
2023-02-20;NaTran;22677.0;24637.0;25590.0;24894.0;24338.0;24017.0;22145.0;21252.0;21387.0;19933.0;20252.0;23128.0;25189.0;26284.0;26212.0;25522.0;25567.0;25477.0;24662.0;24603.0;25114.0;26101.0;26061.0;25855.0;Industriel;Définitif;580895.0
2023-02-11;NaTran;24728.0;24877.0;24661.0;24289.0;23766.0;23215.0;22187.0;21564.0;21883.0;22681.0;22277.0;23154.0;24029.0;24147.0;24099.0;23765.0;23684.0;23979.0;24055.0;24094.0;23053.0;22640.0;22608.0;22644.0;Industriel;Définitif;562079.0
2023-02-07;NaTran;22919.0;23607.0;22895.0;22596.0;22135.0;21297.0;20445.0;20283.0;20534.0;21912.0;21768.0;21986.0;22481.0;22567.0;22495.0;23050.0;23175.0;23398.0;23491.0;23657.0;23523.0;23671.0;24205.0;24561.0;Industriel;Définitif;542652.0
2023-02-03;NaTran;18680.0;22804.0;24574.0;24386.0;24142.0;23596.0;22904.0;22905.0;23147.0;23322.0;22507.0;23656.0;24410.0;24588.0;24366.0;23904.0;23642.0;23346.0;22868.0;23043.0;23043.0;22262.0;21781.0;22933.0;Industriel;Définitif;556808.0
2023-01-29;NaTran;25005.0;24992.0;25912.0;26491.0;26107.0;25982.0;24954.0;23857.0;23627.0;25067.0;25405.0;26207.0;26900.0;26981.0;26898.0;26704.0;26626.0;26089.0;23181.0;20893.0;20888.0;20743.0;20833.0;20928.0;Industriel;Définitif;591270.0
2023-01-23;NaTran;26988.0;27959.0;28139.0;28088.0;27919.0;28450.0;28050.0;27156.0;27834.0;28001.0;27823.0;27645.0;27903.0;27912.0;27826.0;27586.0;26666.0;26256.0;26460.0;27057.0;26735.0;26470.0;26468.0;26448.0;Industriel;Définitif;657839.0
2023-01-22;NaTran;22851.0;23268.0;24109.0;24894.0;25063.0;24971.0;24999.0;24791.0;25272.0;25181.0;25202.0;25413.0;25521.0;25865.0;25807.0;25669.0;25732.0;25545.0;25168.0;25236.0;24946.0;24727.0;25040.0;25990.0;Industriel;Définitif;601260.0
2023-01-10;NaTran;17715.0;20023.0;20425.0;20232.0;20352.0;20167.0;18650.0;16080.0;16355.0;16353.0;16270.0;16308.0;16212.0;16044.0;15003.0;14379.0;14103.0;14180.0;14044.0;13853.0;13761.0;13644.0;13671.0;13862.0;Industriel;Définitif;391689.0
2023-01-09;NaTran;16071.0;16919.0;18295.0;18279.0;18746.0;18500.0;18090.0;17750.0;18756.0;18858.0;19079.0;19616.0;19745.0;19912.0;19566.0;16813.0;15097.0;14763.0;14649.0;14772.0;14700.0;14803.0;14885.0;15109.0;Industriel;Définitif;413774.0
2022-12-28;NaTran;12807.0;12679.0;12580.0;12512.0;12300.0;12208.0;12046.0;11997.0;12025.0;11854.0;11982.0;11996.0;12081.0;12325.0;12000.0;12199.0;12001.0;11980.0;12053.0;12049.0;11972.0;12082.0;11763.0;11874.0;Industriel;Définitif;291366.0
2022-12-21;NaTran;20687.0;23742.0;24434.0;24442.0;24394.0;24331.0;23473.0;22711.0;22841.0;24058.0;23691.0;24314.0;24383.0;22564.0;18536.0;16692.0;16249.0;15182.0;14679.0;14854.0;14885.0;14788.0;14736.0;14904.0;Industriel;Définitif;485573.0
2022-12-19;NaTran;18650.0;22084.0;23943.0;24512.0;24563.0;24481.0;24740.0;24315.0;24572.0;24505.0;23897.0;23223.0;23072.0;22478.0;18995.0;17353.0;16900.0;16415.0;15143.0;14407.0;14642.0;14716.0;14966.0;15134.0;Industriel;Définitif;487707.0
2022-12-18;NaTran;24523.0;24541.0;24733.0;25325.0;25186.0;25386.0;25119.0;24788.0;24673.0;24145.0;23252.0;22905.0;21675.0;22455.0;22667.0;22682.0;23111.0;22233.0;19215.0;18632.0;17826.0;16949.0;16805.0;16940.0;Industriel;Définitif;535767.0
2022-12-17;NaTran;28268.0;27729.0;27891.0;28286.0;27508.0;28076.0;28180.0;27948.0;27918.0;27829.0;28167.0;28078.0;27840.0;27645.0;26903.0;26679.0;26892.0;26492.0;26451.0;25953.0;23725.0;23287.0;22913.0;23667.0;Industriel;Définitif;644325.0
2022-12-02;NaTran;27809.0;28311.0;28398.0;28544.0;28469.0;28110.0;28140.0;28011.0;27921.0;27943.0;28117.0;28070.0;28119.0;28080.0;27591.0;26484.0;26211.0;26886.0;26230.0;24960.0;24328.0;23643.0;23866.0;24109.0;Industriel;Définitif;648350.0
2022-11-29;NaTran;27094.0;28891.0;29840.0;29827.0;29711.0;29679.0;29528.0;29316.0;29287.0;29266.0;29340.0;29468.0;29610.0;29725.0;29527.0;28021.0;27488.0;26960.0;26812.0;26907.0;26881.0;27108.0;27083.0;26985.0;Industriel;Définitif;684355.0
